date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:05	51757/51757	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2005:11:06%20GMT	https://www.tomscott.com/	C:/Users/delco/Desktop/Website/www.tomscott.com/index.html	(from )
00:11:05	408/408	---M--	200	added ('OK')	text/plain	etag:%22198-609e0b0374380%22	https://www.tomscott.com/robots.txt		(from )
00:11:06	3105/3105	---MC-	200	added ('OK')	text/xml	date:Wed,%2005%20Mar%202025%2005:11:06%20GMT	https://www.tomscott.com/updates.xml	C:/Users/delco/Desktop/Website/www.tomscott.com/updates.xml	(from https://www.tomscott.com/)
00:11:06	221114/221114	---M--	200	added ('OK')	image/jpeg	etag:%2235fba-58bc44af563c0%22	https://www.tomscott.com/img/default.jpg	C:/Users/delco/Desktop/Website/www.tomscott.com/img/default.jpg	(from https://www.tomscott.com/)
00:11:06	19760/19760	---M--	200	added ('OK')	text/html	etag:%224d30-60b85de931140%22	https://www.tomscott.com/img/lateral.webp	C:/Users/delco/Desktop/Website/www.tomscott.com/img/lateral.html	(from https://www.tomscott.com/)
00:11:06	13386/13386	---M--	200	added ('OK')	text/html	etag:%22344a-60b85de18ff40%22	https://www.tomscott.com/img/newsletter.webp	C:/Users/delco/Desktop/Website/www.tomscott.com/img/newsletter.html	(from https://www.tomscott.com/)
00:11:06	10942/10942	---M--	200	added ('OK')	text/html	etag:%222abe-60b85dbc5e780%22	https://www.tomscott.com/img/techdif.webp	C:/Users/delco/Desktop/Website/www.tomscott.com/img/techdif.html	(from https://www.tomscott.com/)
00:11:06	42562/42562	---M--	200	added ('OK')	text/html	etag:%22a642-60b85d78a87c0%22	https://www.tomscott.com/img/zerog.webp	C:/Users/delco/Desktop/Website/www.tomscott.com/img/zerog.html	(from https://www.tomscott.com/)
00:11:07	34880/34880	---M--	200	added ('OK')	text/html	etag:%228840-60b85dd0656c0%22	https://www.tomscott.com/img/plus.webp	C:/Users/delco/Desktop/Website/www.tomscott.com/img/plus.html	(from https://www.tomscott.com/)
00:11:07	37665/37665	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2005:11:08%20GMT	https://www.tomscott.com/contact/	C:/Users/delco/Desktop/Website/www.tomscott.com/contact/index.html	(from https://www.tomscott.com/)
00:11:08	92470/92470	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2005:11:08%20GMT	https://www.tomscott.com/newsletter/	C:/Users/delco/Desktop/Website/www.tomscott.com/newsletter/index.html	(from https://www.tomscott.com/)
00:11:09	33040/33040	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2005:11:08%20GMT	https://www.tomscott.com/contact/ads/	C:/Users/delco/Desktop/Website/www.tomscott.com/contact/ads/index.html	(from https://www.tomscott.com/contact/)
00:11:10	30293/30293	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2005:11:09%20GMT	https://www.tomscott.com/contact/pr/	C:/Users/delco/Desktop/Website/www.tomscott.com/contact/pr/index.html	(from https://www.tomscott.com/contact/)
00:11:10	30929/30929	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2005:11:09%20GMT	https://www.tomscott.com/contact/promotion/	C:/Users/delco/Desktop/Website/www.tomscott.com/contact/promotion/index.html	(from https://www.tomscott.com/contact/)
00:11:10	30044/30044	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2005:11:09%20GMT	https://www.tomscott.com/contact/reviews/	C:/Users/delco/Desktop/Website/www.tomscott.com/contact/reviews/index.html	(from https://www.tomscott.com/contact/)
